Name,SourceID,SourceOID,PosAlong,SideOfEdge,CurbApproa,Status,SnapX,SnapY,SnapZ,DistanceTo,Attr_Lengt,Breaks_Len,V20L1t0,TARGET_FID,FacilityID,V20L1t1,V20L1t2,V20L1t3,V18L1t0,V18L1t1,V18L1t2,V18L1t3,V22L1t0,V22L1t1,V22L1t2,V22L1t3,V12L1t0,V12L1t1,V12L1t2,V12L1t3,V16L1t0,V16L1t1,V16L1t2,V16L1t3
Location 1,1,10902,0.33893668989,1,0,0,5430277.71843000000,6506031.33786000000,0.00000000000,16.75829214920,0.00000000000,,230,1,1,35,69,126,121,20,46,55,171,36,74,61,164,21,86,57,221,24,137,60
Location 2,1,10342,0.45892095246,1,0,0,5430428.38411000000,6505984.99653000000,0.00000000000,19.49401571420,0.00000000000,,47,2,2,8,15,24,44,3,23,18,46,3,27,16,30,5,14,11,115,8,78,29
Location 3,1,11031,0.10768994856,1,0,0,5430405.50641000000,6505956.81566000000,0.00000000000,15.12779655440,0.00000000000,,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 4,1,12327,0.88234811110,2,0,0,5430390.61381000000,6505891.52574000000,0.00000000000,13.38436883010,0.00000000000,,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 5,1,12327,0.17258746395,1,0,0,5430281.02953000000,6505914.82676000000,0.00000000000,26.80732112260,0.00000000000,,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 6,1,13905,0.82611630716,1,0,0,5430156.19498000000,6506083.24572000000,0.00000000000,14.55452831180,0.00000000000,,33,6,6,5,12,16,31,5,17,9,9,5,2,2,22,6,10,6,6,3,1,2
Location 7,1,7518,0.59582538721,2,0,0,5430124.00380000000,6506062.46004000000,0.00000000000,15.76062343010,0.00000000000,,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 8,1,13482,0.82374662502,1,0,0,5430006.28022000000,6506117.60102000000,0.00000000000,12.53427983030,0.00000000000,,118,8,8,32,40,46,88,12,34,42,61,16,25,20,148,27,63,58,120,12,64,44
Location 9,1,13713,0.44972780025,1,0,0,5429973.24492000000,6506092.56059000000,0.00000000000,20.96200808740,0.00000000000,,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 10,1,2376,0.17195309874,1,0,0,5429870.19814000000,6506115.27100000000,0.00000000000,25.25891688570,0.00000000000,,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 11,1,12877,0.78160924037,1,0,0,5429722.69867000000,6506132.38351000000,0.00000000000,11.91613144110,0.00000000000,,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 12,1,2612,0.36620609070,1,0,0,5429711.19092000000,6506168.29561000000,0.00000000000,14.08327001290,0.00000000000,,71,13,12,10,30,31,66,13,14,39,85,17,42,26,88,13,46,29,104,14,61,29
Location 13,1,5867,0.14431346745,2,0,0,5429623.36947000000,6506204.65508000000,0.00000000000,1.93259397741,0.00000000000,,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 14,1,5861,0.89207639923,2,0,0,5429611.37939000000,6506153.82662000000,0.00000000000,16.20397153100,0.00000000000,,0,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 15,1,47,0.59897106514,1,0,0,5429536.67473000000,6506210.83515000000,0.00000000000,13.86072858590,0.00000000000,,93,16,15,22,24,47,78,19,28,31,143,25,55,63,75,14,30,31,193,34,93,66
Location 16,1,9758,0.11057535864,1,0,0,5429507.10581000000,6506178.58188000000,0.00000000000,15.48026200580,0.00000000000,,0,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 17,1,16506,0.54602080007,1,0,0,5429433.39063000000,6506236.39163000000,0.00000000000,12.74439272140,0.00000000000,,110,18,17,26,32,52,68,11,19,38,30,2,16,12,77,13,40,24,104,10,54,40
Location 18,1,3900,0.89112098933,2,0,0,5429399.50374000000,6506204.32242000000,0.00000000000,19.90093452410,0.00000000000,,0,19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 19,1,4627,0.57301405296,1,0,0,5429323.24402000000,6506263.29533000000,0.00000000000,12.93862245540,0.00000000000,,0,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 20,1,13433,0.80872225481,2,0,0,5429291.34966000000,6506227.74705000000,0.00000000000,15.45332036120,0.00000000000,,0,22,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 21,1,5210,0.32605605865,1,0,0,5429175.96088000000,6506299.69552000000,0.00000000000,13.37039558260,0.00000000000,,287,23,21,60,62,165,175,32,73,70,261,56,122,83,228,31,119,78,534,50,311,173
Location 22,1,7411,0.11598221542,2,0,0,5429309.15461000000,6506517.76229000000,0.00000000000,18.59089364390,0.00000000000,,0,24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 23,1,14523,0.65235914572,2,0,0,5429239.95388000000,6506567.72975000000,0.00000000000,16.37490833880,0.00000000000,,137,26,23,30,38,69,115,21,40,54,166,26,63,77,195,22,105,68,21,4,12,5
Location 24,1,13509,0.13497230357,1,0,0,5429309.88494000000,6506651.18532000000,0.00000000000,26.84303235780,0.00000000000,,357,27,24,69,122,166,371,56,146,169,393,65,180,148,390,54,186,150,378,42,203,133
Location 25,1,953,0.16380160590,2,0,0,5429285.08845000000,6506674.16795000000,0.00000000000,15.73606282340,0.00000000000,,242,28,25,44,89,109,190,35,78,77,133,23,67,43,126,20,58,48,176,19,106,51
Location 26,1,13995,0.85923165879,1,0,0,5429336.43785000000,6506747.82933000000,0.00000000000,15.58040783900,0.00000000000,,997,29,26,228,291,478,724,126,284,314,891,143,417,331,846,110,444,292,342,30,206,106
Location 27,1,2818,0.76405553367,1,0,0,5430381.77358000000,6505767.66123000000,0.00000000000,16.74112336160,0.00000000000,,0,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 28,1,10555,0.35371353671,1,0,0,5430251.72583000000,6505777.79935000000,0.00000000000,23.69406239200,0.00000000000,,0,32,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 29,1,7189,0.32159609026,1,0,0,5430225.66929000000,6505677.03404000000,0.00000000000,25.02270074680,0.00000000000,,0,33,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 30,1,266,0.89437582893,2,0,0,5430317.00149000000,6505558.08290000000,0.00000000000,14.68539496570,0.00000000000,,156,34,30,23,58,75,67,10,21,36,85,15,45,25,102,15,53,34,232,33,115,84
Location 31,1,266,0.14327740754,1,0,0,5430193.94971000000,6505583.02560000000,0.00000000000,24.49107238340,0.00000000000,,0,35,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 32,1,4737,0.16896749493,2,0,0,5430175.44849000000,6505481.64570000000,0.00000000000,15.37275532020,0.00000000000,,0,36,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 33,1,12351,0.28147809197,2,0,0,5430439.79117000000,6505424.36316000000,0.00000000000,15.41321794140,0.00000000000,,0,37,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 34,1,12598,0.76148084205,2,0,0,5430404.65103000000,6505407.32405000000,0.00000000000,13.74826413020,0.00000000000,,0,38,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 35,1,2437,0.75750763805,2,0,0,5430511.42610000000,6505383.24493000000,0.00000000000,20.26648736840,0.00000000000,,0,40,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 36,1,9646,0.22165977840,2,0,0,5430539.28448000000,6505402.39976000000,0.00000000000,16.36773557770,0.00000000000,,0,41,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 37,1,9778,0.77822457502,2,0,0,5430614.67403000000,6505361.55552000000,0.00000000000,20.87729037700,0.00000000000,,0,43,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 38,1,2657,0.21146443177,2,0,0,5430640.64020000000,6505378.73503000000,0.00000000000,17.22465529140,0.00000000000,,0,44,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 39,1,11352,0.23578672951,1,0,0,5430715.59398000000,6505338.75201000000,0.00000000000,22.13435739340,0.00000000000,,30,45,39,10,8,12,45,4,19,22,25,4,14,7,38,6,19,13,102,7,61,34
Location 40,1,7853,0.23509710515,2,0,0,5430742.96114000000,6505357.09495000000,0.00000000000,18.09007389760,0.00000000000,,0,46,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 41,1,12106,0.82508596493,2,0,0,5430342.33866000000,6505652.54306000000,0.00000000000,16.25351059490,0.00000000000,,0,47,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 42,1,14016,0.17898219829,1,0,0,5430816.65748000000,6505317.28102000000,0.00000000000,21.88087793900,0.00000000000,,0,48,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 43,1,9262,0.16192119940,2,0,0,5430874.54158000000,6505346.79097000000,0.00000000000,4.77506916267,0.00000000000,,37,49,43,12,14,11,29,1,14,14,15,2,11,2,28,1,14,13,32,4,18,10
Location 44,1,10155,0.26161706224,1,0,0,5431021.63065000000,6505271.96986000000,0.00000000000,21.45501116840,0.00000000000,,0,50,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 45,1,11074,0.22621878224,2,0,0,5431049.71185000000,6505292.27819000000,0.00000000000,16.01225697040,0.00000000000,,0,51,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 46,1,12115,0.26908868299,1,0,0,5431120.54476000000,6505250.20256000000,0.00000000000,19.04163767120,0.00000000000,,0,53,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 47,1,7998,0.25593245054,2,0,0,5431152.55647000000,6505270.82420000000,0.00000000000,15.71542064810,0.00000000000,,0,54,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 48,1,247,0.16197357834,1,0,0,5431234.59686000000,6505237.13196000000,0.00000000000,23.15573761890,0.00000000000,,0,55,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 49,1,2984,0.82255169444,2,0,0,5431230.17070000000,6505152.10171000000,0.00000000000,12.79132731600,0.00000000000,,0,57,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 50,1,3527,0.87585521997,2,0,0,5431304.28878000000,6505157.79298000000,0.00000000000,17.22150901610,0.00000000000,,126,58,50,21,50,55,55,7,22,26,82,10,40,32,90,14,44,32,137,12,85,40
Location 51,1,3683,0.28260333142,2,0,0,5431345.11456000000,6504994.99634000000,0.00000000000,13.14408753420,0.00000000000,,366,59,51,82,120,164,160,34,65,61,205,51,97,57,236,38,141,57,172,35,86,51
Location 52,1,5230,0.77588815249,1,0,0,5431325.68302000000,6504957.45429000000,0.00000000000,20.67283309280,0.00000000000,,73,60,52,8,30,35,0,0,0,0,0,0,0,0,0,0,0,0,10,1,4,5
Location 53,1,6130,0.24148097972,1,0,0,5431478.63322000000,6505015.26536000000,0.00000000000,21.81613896190,0.00000000000,,0,61,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 54,1,15037,0.36646760106,2,0,0,5431843.82568000000,6504072.18684000000,0.00000000000,14.87609063320,0.00000000000,,73,63,54,20,14,39,9,4,1,4,42,2,35,5,23,2,13,8,1,0,1,0
Location 55,1,9691,0.14062004530,2,0,0,5431877.23993000000,6504212.99218000000,0.00000000000,13.18907343900,0.00000000000,,58,64,55,8,21,29,68,12,39,17,47,6,27,14,58,5,35,18,72,11,40,21
Location 56,1,11795,0.77320495912,1,0,0,5431902.45962000000,6504191.47263000000,0.00000000000,12.60526083620,0.00000000000,,0,65,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
